,country,utility_name,utility_code,utility_ID,year,connection_type,total_number_connections,residential_connections,electricity_sold_year_MWh,distribution_length_km,num_employees,avg_price_MWh_local,OPEX_local,CAPEX_local,TOTEX_local,energy_losses_technical&nontechnical_%,avg_duration_interruptions_suscriber,avg_frequency_interruptions_subscriber,residential_coverage (#/100 households),avg_residential_tarif_local,avg_industrial_tarif_local,privatization_year,residential_connections_employee,energy_sold_employee
0,Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,1995.0,Elec - Distribution,710188.0,579691.0,3605894.515,33415.54,2610.0,55386.0,51566467661.0,57550542986.0,109000000000.0,0.1731,8.34,17.78,0.694,95460.0,68920.0,0.0,222.1038314,1381.56878
1,Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,1996.0,Elec - Distribution,785280.0,647040.0,3802143.296,39952.04,2682.0,65317.0,73128464162.0,31578443618.0,105000000000.0,0.1998,18.85,17.29,0.747,117960.0,85230.0,0.0,241.2527964,1417.652236
2,Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,1997.0,Elec - Distribution,850947.0,707179.0,3973477.997,45892.74,2754.0,80853.0,86225888875.0,43585547912.0,130000000000.0,0.2285,12.65,18.15,0.79,135140.0,95020.0,0.0,256.7824982,1442.802468
3,Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,1998.0,Elec - Distribution,897494.0,749033.0,4079504.871,48422.2,2988.0,93392.0,98066497237.0,176000000000.0,274000000000.0,0.2366,17.07,21.94,0.816,159890.0,110890.0,0.0,250.6803882,1365.296142
4,Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,1999.0,Elec - Distribution,856545.0,719159.0,4815296.785,50637.75,2994.0,110446.0,91568659622.0,64483211429.0,156000000000.0,0.21,7.13,13.32,0.823,161702.9087,98855.26838,0.0,240.2000668,1608.315559
5,Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,2000.0,Elec - Distribution,921328.0,776047.0,5067972.726,52077.02,2992.0,108627.0,103000000000.0,27444288490.0,131000000000.0,0.2164,10.51,15.8,0.831,171350.0,111020.0,0.0,259.3739973,1693.841152
6,Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,2001.0,Elec - Distribution,959579.0,812964.0,5138684.847,53546.51,3018.0,145747.0,109000000000.0,45368471562.0,155000000000.0,0.2205,11.09,16.97,0.84,232100.0,146100.0,0.0,269.3717694,1702.678876
7,Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,2002.0,Elec - Distribution,964448.0,819693.0,5074302.891,54443.35,3090.0,207694.0,103000000000.0,64274497756.0,168000000000.0,0.2611,6.67,13.79,0.891,299660.0,198220.0,0.0,265.2728155,1642.16922
8,Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,2003.0,Elec - Distribution,976278.0,835201.0,4932154.199,55541.63,2990.0,129730.0,141000000000.0,99178945261.0,240000000000.0,0.2746,10.47,15.44,0.906,348430.0,219980.0,0.0,279.3314381,1649.549899
9,Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,2004.0,Elec - Distribution,1000156.0,881602.0,5166682.24,56200.53,3116.0,135518.0,153000000000.0,66051983660.0,219000000000.0,0.2956,9.3,14.93,0.92,349630.0,214170.0,0.0,282.9274711,1658.113684
