country,utility name,utility code,utility ID,year,Type of connection, Total number of connections (residential and non-residential) in the utility area,Total Number of residential connections in the utility area,Total electricity sold per year (MWh),Length of distribution network (km) ,Total number of employees ,Average wholesale price paid per MWh (local nominal currency),Average transmission charges per MWh purchased (local nominal currency),OPEX (operation expenditures) of the distribution services (local nominal currency),CAPEX (captial expenditures) of the distribution services (local nominal currency) ,TOTEX (total expenditures) of the distribution network (local nominal currency),Energy losses in distribution per year (due to technical losses and illegal connections) %,Energy losses in distribution per year due to technical losses %,Energy losses in distribution per year due to non-technical losses (illegal connections) %,Average duration of interruptions per subscriber (hours/year),Average frequency of interruptions per subscriber (# interruptions / year),Number of residential subscribers per 100 households in the concession area (Residential coverage) # / 100 households,Number of customer complaints per year,Average duration between customer complaint and the solution of the problem (hours),Average residential tariff (local nominal currency / MWh),Average industrial tariff (local nominal currency / MWh),Installation Cost (residential) local nominal currency,Installation Cost (Industrial) local nominal currency,Year of privatization,Residencial conexions per employee,Energy sold per employee
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,1994,Elec - Distribution,589008,,2961442.739,24046,2055.054271,,,,,,0.178,,,,,,,,,,,,0,,1441.0533
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,1995,Elec - Distribution,710188,579691,3605894.515,33415.54,2610,55386,12835,51566467661,57550542986,1.09E+11,0.1731,0.0641,0.109,8.34,17.78,0.694,43333,,95460,68920,,,0,222.1038314,1381.56878
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,1996,Elec - Distribution,785280,647040,3802143.296,39952.04,2682,65317,13127,73128464162,31578443618,1.05E+11,0.1998,0.0707,0.1291,18.85,17.29,0.747,45118,,117960,85230,,,0,241.2527964,1417.652236
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,1997,Elec - Distribution,850947,707179,3973477.997,45892.74,2754,80853,13961,86225888875,43585547912,1.30E+11,0.2285,0.0835,0.145,12.65,18.15,0.79,49173,,135140,95020,,,0,256.7824982,1442.802468
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,1998,Elec - Distribution,897494,749033,4079504.871,48422.2,2988,93392,13800,98066497237,1.76E+11,2.74E+11,0.2366,0.0775,0.1591,17.07,21.94,0.816,49834,,159890,110890,,,0,250.6803882,1365.296142
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,1999,Elec - Distribution,856545,719159,4815296.785,50637.75,2994,110446,16312,91568659622,64483211429,1.56E+11,0.21,0.0843,0.1257,7.13,13.32,0.823,38173,,161702.9087,98855.26838,,,0,240.2000668,1608.315559
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,2000,Elec - Distribution,921328,776047,5067972.726,52077.02,2992,108627,17067,1.03E+11,27444288490,1.31E+11,0.2164,0.0818,0.1346,10.51,15.8,0.831,41153,,171350,111020,,,0,259.3739973,1693.841152
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,2001,Elec - Distribution,959579,812964,5138684.847,53546.51,3018,145747,19041,1.09E+11,45368471562,1.55E+11,0.2205,0.0553,0.1652,11.09,16.97,0.84,58835,,232100,146100,,,0,269.3717694,1702.678876
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,2002,Elec - Distribution,964448,819693,5074302.891,54443.35,3090,207694,18581,1.03E+11,64274497756,1.68E+11,0.2611,0.0819,0.1792,6.67,13.79,0.891,49505,,299660,198220,,,0,265.2728155,1642.16922
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,2003,Elec - Distribution,976278,835201,4932154.199,55541.63,2990,129730,25535,1.41E+11,99178945261,2.40E+11,0.2746,0.0685,0.2061,10.47,15.44,0.906,48904,0.743055556,348430,219980,,,0,279.3314381,1649.549899
Paraguay,ADMINISTRACION NACIONAL DE ELECTRICIDAD (ANDE).,ANDE,209001,2004,Elec - Distribution,1000156,881602,5166682.24,56200.53,3116,135518,24382,1.53E+11,66051983660,2.19E+11,0.2956,0.065,0.2306,9.3,14.93,0.92,49873,1.210916667,349630,214170,,,0,282.9274711,1658.113684
